billboard_song,billboard_artist,spotify_title,spotify_artist,release_date,album,track_popularity,artist_genres,artist_followers,artist_popularity
When He's Gone,PARTYNEXTDOOR & Drake,WHEN HE'S GONE,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,73,r&b,9047142,87
OMW,PARTYNEXTDOOR & Drake,OMW,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,71,r&b,9047142,87
Glorious,PARTYNEXTDOOR & Drake,GLORIOUS,PARTYNEXTDOOR,2025-02-14,$ome $exy $ongs 4 U,68,r&b,9047142,87
Couldn't Make It Any Harder,Sabrina Carpenter,Couldn’t Make It Any Harder,Sabrina Carpenter,2025-02-14,Short n' Sweet (Deluxe),78,Unknown,22486575,91
Bad Reviews,Sabrina Carpenter,Bad Reviews,Sabrina Carpenter,2025-02-14,Short n' Sweet (Deluxe),77,Unknown,22486575,91
4X4,Travis Scott,4X4,Travis Scott,2025-01-24,4X4,83,rap,38714246,93
Velda,"Bad Bunny, Omar Courtz & Dei V",VeLDÁ,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,93,"reggaeton, trap latino, urbano latino, latin",95608573,100
Juno,Sabrina Carpenter,Juno,Sabrina Carpenter,2024-08-23,Short n' Sweet,88,Unknown,22486575,91
Humble.,Kendrick Lamar,HUMBLE.,Kendrick Lamar,2017-04-14,DAMN.,89,"hip hop, west coast hip hop",41258484,95
Like That,"Future, Metro Boomin & Kendrick Lamar",Like That,Future,2024-03-22,WE DON'T TRUST YOU,87,rap,21428670,92
Diet Pepsi,Addison Rae,Diet Pepsi,Addison Rae,2024-08-09,Diet Pepsi,86,Unknown,894047,74
Nissan Altima,Doechii,NISSAN ALTIMA,Doechii,2024-08-30,Alligator Bites Never Heal,84,Unknown,2903106,86
Sao Paulo,The Weeknd & Anitta,São Paulo (feat. Anitta),The Weeknd,2025-01-31,Hurry Up Tomorrow,88,Unknown,105070603,96
Wacced Out Murals,Kendrick Lamar,wacced out murals,Kendrick Lamar,2024-11-22,GNX,78,"hip hop, west coast hip hop",41258484,95
Euphoria,Kendrick Lamar,euphoria,Kendrick Lamar,2024-04-30,euphoria,81,"hip hop, west coast hip hop",41258484,95
El Club,Bad Bunny,EL CLúB,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,86,"reggaeton, trap latino, urbano latino, latin",95608573,100
Baptized In Fear,The Weeknd,Baptized In Fear,The Weeknd,2025-01-31,Hurry Up Tomorrow,78,Unknown,105070603,96
Guess,Charli xcx Featuring Billie Eilish,Guess featuring billie eilish,Charli xcx,2024-10-11,Brat and it’s completely different but also still brat,87,"hyperpop, art pop",5534932,87
Nadie,Tito Double P,NADIE,Tito Double P,2024-11-21,NADIE,89,"corrido, corridos tumbados, corridos bélicos, electro corridos, música mexicana",7329805,90
Forever Young,"David Guetta, Alphaville & Ava Max",Forever Young,David Guetta,2024-10-18,Forever Young,83,"edm, dance",27090335,90
The Greatest,Billie Eilish,THE GREATEST,Billie Eilish,2024-05-17,HIT ME HARD AND SOFT,86,Unknown,111871823,94
Open Hearts,The Weeknd,Open Hearts,The Weeknd,2025-01-31,Hurry Up Tomorrow,79,Unknown,105070603,96
Rosones,Tito Double P,ROSONES,Tito Double P,2024-12-05,ROSONES,89,"corrido, corridos tumbados, corridos bélicos, electro corridos, música mexicana",7329805,90
Weltita,Bad Bunny & Chuwi,WELTiTA,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,90,"reggaeton, trap latino, urbano latino, latin",95608573,100
Again,Fetty Wap,Again,Fetty Wap,2015-09-25,Fetty Wap,56,Unknown,5055672,76
Wake Me Up,The Weeknd & Justice,Wake Me Up (feat. Justice),The Weeknd,2025-01-31,Hurry Up Tomorrow,76,Unknown,105070603,96
Reflections Laughing,"The Weeknd, Travis Scott & Florence + The Machine","Reflections Laughing (feat. Travis Scott, Florence + The Machine)",The Weeknd,2025-01-31,Hurry Up Tomorrow,77,Unknown,105070603,96
Enjoy The Show,The Weeknd & Future,Enjoy The Show (feat. Future),The Weeknd,2025-01-31,Hurry Up Tomorrow,75,Unknown,105070603,96
Think I'm In Love With You,Chris Stapleton,Think I'm In Love With You,Chris Stapleton,2023-11-10,Higher,82,country,8432232,84
Niagara Falls,The Weeknd,Niagara Falls,The Weeknd,2025-01-31,Hurry Up Tomorrow,77,Unknown,105070603,96
The Abyss,The Weeknd & Lana Del Rey,The Abyss (feat. Lana Del Rey),The Weeknd,2025-01-31,Hurry Up Tomorrow,79,Unknown,105070603,96
Take Me Back To LA,The Weeknd,Take Me Back To LA,The Weeknd,2025-01-31,Hurry Up Tomorrow,75,Unknown,105070603,96
Given Up On Me,The Weeknd,Given Up On Me,The Weeknd,2025-01-31,Hurry Up Tomorrow,74,Unknown,105070603,96
Opening Night,The Weeknd,Opening Night,The Weeknd,2025-01-31,Hurry Up Tomorrow,73,Unknown,105070603,96
Blue Jean Baby,Zach Bryan,Blue Jean Baby,Zach Bryan,2025-01-27,Blue Jean Baby,77,"country, red dirt",6593797,88
I Can't Wait To Get There,The Weeknd,I Can't Wait To Get There,The Weeknd,2025-01-31,Hurry Up Tomorrow,74,Unknown,105070603,96
Help Me,Real Boston Richey,Help Me,Real Boston Richey,2024-05-31,Help Me,68,Unknown,295913,65
Kloufrens,Bad Bunny,KLOuFRENS,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,91,"reggaeton, trap latino, urbano latino, latin",95608573,100
Perfumito Nuevo,Bad Bunny & RaiNao,PERFuMITO NUEVO,Bad Bunny,2025-01-05,DeBÍ TiRAR MáS FOToS,87,"reggaeton, trap latino, urbano latino, latin",95608573,100
Love Hangover,JENNIE & Dominic Fike,Love Hangover (feat. Dominic Fike),JENNIE,2025-03-07,Ruby,81,k-pop,10314088,88
